FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1478977|Little River|Stream|VA|51|Montgomery|121|370453N|0803437W|37.0815146|-80.5770031|370447N|0800841W|37.0798575|-80.1447625|529|1736|Radford South|09/28/1979|
1481269|Aiken Dam Hollow|Valley|VA|51|Montgomery|121|372056N|0801740W|37.3490183|-80.2944931|371932N|0801752W|37.3255556|-80.2977778|500|1640|McDonalds Mill|09/28/1979|
1481276|Alleghany Church|Church|VA|51|Montgomery|121|370930N|0802506W|37.1584625|-80.4183838|||||637|2090|Blacksburg|09/28/1979|
1481287|Allen Hollow|Valley|VA|51|Montgomery|121|372001N|0801938W|37.3337403|-80.3272718|371849N|0801938W|37.3136111|-80.3272222|525|1722|McDonalds Mill|09/28/1979|
1481314|Anderson Cemetery|Cemetery|VA|51|Montgomery|121|371519N|0802057W|37.2554078|-80.3492143|||||495|1624|McDonalds Mill|09/28/1979|
1481363|Austin Hollow|Valley|VA|51|Montgomery|121|371621N|0801821W|37.2726305|-80.3058797|371617N|0801657W|37.2713889|-80.2825|490|1608|McDonalds Mill|09/28/1979|
1481476|Barringer Mountain|Summit|VA|51|Montgomery|121|370817N|0802808W|37.1381839|-80.4689415|||||709|2326|Blacksburg|09/28/1979|
1481600|Margaret Beeks Elementary School|School|VA|51|Montgomery|121|371250N|0802421W|37.2140245|-80.4059565|||||655|2149|Blacksburg|09/28/1979|09/15/2010
1481617|Belmont|Populated Place|VA|51|Montgomery|121|370946N|0802649W|37.1629064|-80.4469961|||||632|2073|Blacksburg|09/28/1979|
1481618|Belmont Church|Church|VA|51|Montgomery|121|370953N|0802727W|37.1648506|-80.4575522|||||627|2057|Blacksburg|09/28/1979|
1481620|Belview Elementary School|School|VA|51|Montgomery|121|371013N|0803040W|37.1703474|-80.511018|||||596|1955|Radford North|09/28/1979|09/15/2010
1481629|Bennett Cemetery|Cemetery|VA|51|Montgomery|121|371555N|0801943W|37.265408|-80.3286582|||||479|1572|McDonalds Mill|09/28/1979|
1481678|Betsy Boating Hollow|Valley|VA|51|Montgomery|121|371954N|0802008W|37.3317958|-80.3356054|371847N|0801948W|37.3130556|-80.33|530|1739|McDonalds Mill|09/28/1979|
1481725|Big Falls|Falls|VA|51|Montgomery|121|371439N|0803622W|37.2442917|-80.6061721|||||500|1640|Radford North|09/28/1979|
1481726|Big Ford Hollow|Valley|VA|51|Montgomery|121|371924N|0802156W|37.323462|-80.3656064|371832N|0802149W|37.3088889|-80.3636111|552|1811|McDonalds Mill|09/28/1979|
1481779|Big Run|Stream|VA|51|Montgomery|121|371305N|0803142W|37.2181823|-80.5283892|371306N|0802927W|37.2184608|-80.490887|531|1742|Radford North|09/28/1979|
1481843|Blankenship Hollow|Valley|VA|51|Montgomery|121|371753N|0801643W|37.2981862|-80.2786572|371724N|0801612W|37.29|-80.27|520|1706|McDonalds Mill|09/28/1979|
1481968|Bradshaw Creek|Stream|VA|51|Montgomery|121|371357N|0801513W|37.232632|-80.2536544|371928N|0801019W|37.3245763|-80.1719884|377|1237|Ironto|09/28/1979|
1482049|Bruisers Knob|Summit|VA|51|Montgomery|121|372111N|0802037W|37.3531842|-80.3436621|||||1042|3419|McDonalds Mill|09/28/1979|
1482415|Cedar Run|Stream|VA|51|Montgomery|121|371121N|0802132W|37.1892969|-80.3589368|371203N|0802415W|37.2009626|-80.4042165|443|1453|Ironto|09/28/1979|
1482422|Centennial Church|Church|VA|51|Montgomery|121|371309N|0803553W|37.2192919|-80.5981159|||||623|2044|Radford North|09/28/1979|
1482529|Christian Fellowship Evangelistic Tabernacle|Church|VA|51|Montgomery|121|370748N|0802712W|37.1301286|-80.4533852|||||640|2100|Blacksburg|09/28/1979|
1482533|Christiansburg Institute|School|VA|51|Montgomery|121|370822N|0802430W|37.1393318|-80.4083808|||||654|2146|Blacksburg|09/28/1979|09/15/2010
1482601|Coal Bank Hollow|Valley|VA|51|Montgomery|121|371632N|0802510W|37.275684|-80.4194959|371654N|0802347W|37.2816667|-80.3963889|620|2034|Newport|09/28/1979|
1482781|Crab Creek|Stream|VA|51|Montgomery|121|370913N|0803143W|37.153738|-80.5286669|370820N|0802218W|37.1390191|-80.371715|518|1699|Radford North|09/28/1979|
1482823|Crawford Ridge|Ridge|VA|51|Montgomery|121|371938N|0801518W|37.3273527|-80.2550461|||||679|2228|McDonalds Mill|09/28/1979|
1482942|Davis Chapel|Church|VA|51|Montgomery|121|371441N|0802248W|37.2448517|-80.3800489|||||559|1834|Blacksburg|09/28/1979|
1483139|Dry Run|Stream|VA|51|Montgomery|121|371619N|0801830W|37.2720749|-80.3083798|371802N|0802136W|37.3005556|-80.36|485|1591|McDonalds Mill|09/28/1979|
1483333|Fairview Church|Church|VA|51|Montgomery|121|371349N|0802943W|37.2304052|-80.4953317|||||590|1936|Blacksburg|09/28/1979|
1483429|Flag Cemetery|Cemetery|VA|51|Montgomery|121|370802N|0802331W|37.1340187|-80.3919937|||||644|2113|Blacksburg|09/28/1979|
1483454|Flatwoods Branch|Stream|VA|51|Montgomery|121|371413N|0801602W|37.2370761|-80.2672661|371559N|0801654W|37.26652|-80.2817117|381|1250|Ironto|09/28/1979|
1483484|Fork Lick Hollow|Valley|VA|51|Montgomery|121|371404N|0803232W|37.2345708|-80.5422791|371425N|0803329W|37.2402778|-80.5580556|566|1857|Radford North|09/28/1979|
1483515|Fox Hollow|Valley|VA|51|Montgomery|121|371353N|0803042W|37.2315159|-80.5117215|371456N|0803059W|37.2488889|-80.5163889|560|1837|Radford North|09/28/1979|
1483546|Friends School|School|VA|51|Montgomery|121|370840N|0802455W|37.1445737|-80.4153281|||||641|2103|Blacksburg|09/28/1979|
1483580|Gallion Branch|Stream|VA|51|Montgomery|121|371832N|0801528W|37.3090197|-80.2578234|372024N|0801552W|37.34|-80.2644444|543|1781|McDonalds Mill|09/28/1979|
1483583|Gap Mountain|Summit|VA|51|Montgomery|121|371638N|0802949W|37.2773492|-80.4969995|||||900|2953|Newport|09/28/1979|
1483888|Hale Cemetery|Cemetery|VA|51|Montgomery|121|371633N|0802346W|37.2759621|-80.3961616|||||670|2198|Newport|09/28/1979|
1484082|High Knob|Summit|VA|51|Montgomery|121|371207N|0802258W|37.2020741|-80.3828268|||||724|2375|Blacksburg|09/28/1979|
1484100|Hightop Mission Church|Church|VA|51|Montgomery|121|371120N|0802415W|37.1890182|-80.4042165|||||666|2185|Blacksburg|09/28/1979|
1484143|Hoge Pond|Reservoir|VA|51|Montgomery|121|371323N|0802905W|37.2231631|-80.4846839|||||575|1886|Blacksburg|09/28/1979|06/27/2011
1484337|Indian Run|Stream|VA|51|Montgomery|121|371430N|0802125W|37.2417967|-80.3569922|371514N|0802425W|37.2540178|-80.4069946|461|1512|Ironto|09/28/1979|
1484378|Jack Hollow|Valley|VA|51|Montgomery|121|371653N|0801805W|37.2815194|-80.3014354|371746N|0801829W|37.2961111|-80.3080556|512|1680|McDonalds Mill|09/28/1979|
1484409|Jennelle Cemetery|Cemetery|VA|51|Montgomery|121|371110N|0802411W|37.1862405|-80.4031053|||||634|2080|Blacksburg|09/28/1979|
